,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
154,002194.SZ,20180416,9.03,9.03,8.78,8.83,9.03,-0.2,-2.21,85454.31,75709.979
155,002194.SZ,20180413,9.14,9.22,9.01,9.03,9.14,-0.11,-1.2,94445.4,85616.617
156,002194.SZ,20180412,9.0,9.39,9.0,9.14,9.14,0.0,0.0,113668.92,104337.422
157,002194.SZ,20180411,9.27,9.32,9.1,9.14,9.2,-0.06,-0.65,129082.62,119107.661
158,002194.SZ,20180410,9.65,9.72,9.0,9.2,9.64,-0.44,-4.56,230035.54,212248.815
159,002194.SZ,20180409,9.76,10.09,9.52,9.64,10.19,-0.55,-5.4,266958.2,261790.054
160,002194.SZ,20180404,9.77,10.35,9.73,10.19,9.88,0.31,3.14,347606.1,351822.954
161,002194.SZ,20180403,9.5,10.07,9.33,9.88,9.74,0.14,1.44,247944.44,241416.284
162,002194.SZ,20180402,9.7,9.99,9.51,9.74,9.66,0.08,0.83,230576.19,224773.47
163,002194.SZ,20180330,9.53,9.95,9.3,9.66,9.25,0.41,4.43,233242.5,222882.084
164,002194.SZ,20180329,9.32,9.54,9.11,9.25,9.22,0.03,0.33,128982.23,119582.278
